iso3,year,imports_from_vn_usd,vn_reported_exports_usd
BHS,2004,0,547126.0
BHS,2005,0,1053942.0
BHS,2006,0,700244.0
BHS,2007,0,1392703.0
BHS,2008,0,2612042.0
BHS,2010,0,2043233.0
BHS,2011,22612.0,6182287.0
BHS,2012,0,2583698.0
BHS,2013,100100.0,0
BHS,2014,817099.0,32281640.0
BHS,2015,621724.0,35785659.0
BHS,2016,1025230.0,55722882.4
BHS,2017,1023337.2,41258913.2
BHS,2018,1459543.69,0
BHS,2019,1371491.31,0
BHS,2020,532157.0,0
BHS,2021,1994455.0,0
BIH,2002,0,154251.0
BIH,2003,544687.0,84145.0
BIH,2004,1495975.0,57144.0
BIH,2005,5463950.0,125971.0
BIH,2006,6796305.0,294688.0
BIH,2007,10609690.0,258285.0
BIH,2008,15912921.0,0
BIH,2009,14220492.0,0
BIH,2010,14432701.0,0
BIH,2011,17038631.0,0
BIH,2012,23422893.0,0
BIH,2013,35069994.0,0
BIH,2014,38144255.0,0
BIH,2015,46739371.0,0
BIH,2016,47579453.0,0
BIH,2017,59563000.35,0
BIH,2018,63334933.61,0
BIH,2019,75756949.76,0
BIH,2020,74084373.78,0
BIH,2021,79268341.88,0
BLR,2002,4639000.0,1073177.0
BLR,2003,9508800.0,1632607.0
BLR,2004,3836300.0,1540169.0
BLR,2005,2477900.0,971297.0
BLR,2006,8506000.0,1486738.0
BLR,2007,15531900.0,10079791.0
BLR,2008,34887100.0,14538314.0
BLR,2009,32796200.0,8581176.0
BLR,2010,40390800.0,14323293.0
BLR,2011,47586400.0,11186644.0
BLR,2012,28524200.0,7293168.0
BLR,2013,49633400.0,13787931.0
BLR,2014,15837700.0,13981666.0
BLR,2015,38339800.0,4627256.0
BLR,2016,44186600.0,2540937.79
BLR,2017,59009200.0,7130983.8
BLR,2018,53733300.0,5488179.81
BLR,2019,103037600.0,7531079.31
BLR,2020,82923300.0,8362453.56
BLR,2021,106001200.0,15537848.56
BLZ,2002,310.0,172995.0
BLZ,2003,10666.5,291181.0
BLZ,2004,0,1938860.0
BLZ,2005,8191.5,4830659.0
BLZ,2006,154380.0,2057053.0
BLZ,2007,216577.0,752807.0
BLZ,2008,258052.0,0
BLZ,2009,260794.5,0
BLZ,2010,1041057.64,0
BLZ,2011,2599742.19,0
BLZ,2012,3221269.0,63742957.0
BLZ,2013,6031812.0,0
BLZ,2014,5572882.0,0
BLZ,2015,5076007.0,0
BLZ,2016,3815910.0,0
BLZ,2017,3197151.4,0
BLZ,2018,3148288.4,0
BLZ,2019,3691452.71,0
BLZ,2020,6252229.61,0
BLZ,2021,5574089.96,0
BMU,2002,0,703.0
BMU,2003,0,37468.0
BMU,2004,0,58802.0
BMU,2005,57891.0,313072.0
BMU,2006,72381.0,193755.0
BMU,2007,446411.0,258614.0
BMU,2008,706683.0,0
BMU,2009,594818.0,0
BMU,2010,754758.0,0
BMU,2011,726521.0,0
BMU,2012,709475.0,0
BMU,2013,866694.0,0
BMU,2014,1277841.0,0
BMU,2015,2542724.0,0
BMU,2016,1928807.0,0
BMU,2017,2592427.39,0
BMU,2018,2904000.28,0
BMU,2019,2455428.78,0
BMU,2020,3105751.35,0
BMU,2021,3034870.15,0
BOL,2002,76530.0,150442.0
BOL,2003,118000.0,76287.0
BOL,2004,122381.0,122994.0
BOL,2005,870445.0,553461.0
BOL,2006,1523425.0,729069.0
BOL,2007,2556433.0,1796060.0
BOL,2008,3545696.0,1835234.0
BOL,2009,3038357.0,0
BOL,2010,3972372.29,2564187.0
BOL,2011,6992358.54,0
BOL,2012,9261172.95,0
BOL,2013,12400244.62,0
BOL,2014,11479691.1,0
BOL,2015,29749415.13,10804325.0
BOL,2016,27408519.85,15752785.34
BOL,2017,31243036.7,0
BOL,2018,44376689.76,0
BOL,2019,30666153.91,0
BOL,2020,26687139.04,0
BOL,2021,38959358.04,0
BRA,2002,16543759.0,12165187.0
BRA,2003,24568509.0,22571821.0
BRA,2004,38057983.0,25019328.0
BRA,2005,54944466.0,32245070.0
BRA,2006,83490949.0,61897863.0
BRA,2007,126315177.0,102621649.0
BRA,2008,225139436.0,183087076.0
BRA,2009,235056519.0,199951345.0
BRA,2010,520492352.0,492783653.0
BRA,2011,693912065.0,597892088.0
BRA,2012,862929830.0,718109745.0
BRA,2013,1200531103.0,1104837932.0
BRA,2014,1660187730.0,1480744217.0
BRA,2015,1855766292.0,1435801050.0
BRA,2016,1664478495.0,1332352708.86
BRA,2017,2275116248.0,2039516277.2
BRA,2018,2425621738.0,2059376968.07
BRA,2019,2645870966.0,2147859727.24
BRA,2020,2453017094.0,1824202388.81
BRA,2021,3015690259.0,2266957527.81
BRB,2002,207962.0,388367.0
BRB,2003,284410.0,83902.0
BRB,2004,139516.0,281339.0
BRB,2005,357789.0,181463.0
BRB,2006,422246.0,0
BRB,2007,361583.0,527705.0
BRB,2008,876860.0,0
BRB,2009,804753.0,0
BRB,2010,1762564.0,0
BRB,2011,1129265.0,0
BRB,2012,1887432.0,0
BRB,2013,2548745.0,0
BRB,2014,3264328.0,0
BRB,2015,3581154.0,0
BRB,2016,3884451.0,0
BRB,2017,4545871.0,0
BRB,2018,4212750.0,0
BRB,2019,4417802.0,0
BRB,2020,443163.5,0
BRB,2021,277422.5,0
BRN,2002,831733.0,1379232.0
BRN,2003,847954.0,539175.0
BRN,2004,718698.0,995951.0
BRN,2005,0,599236.0
BRN,2006,1500819.04,3908798.0
BRN,2007,2454670.0,0
BRN,2008,2758565.0,4491596.0
BRN,2009,3970185.0,7689675.0
BRN,2010,6161342.07,14235235.0
BRN,2011,7812136.08,15362291.0
BRN,2012,11214362.0,16870870.0
BRN,2013,10357260.0,17480933.0
BRN,2014,10076218.0,49626051.0
BRN,2015,38239242.0,25520811.0
BRN,2016,10465036.0,20052296.57
BRN,2017,15176915.61,21525054.1
BRN,2018,17251000.66,18464297.87
BRN,2019,114990373.86,66627611.83
BRN,2020,21123653.21,16457246.19
BRN,2021,47785112.93,34907875.0
BTN,2002,0,63941.0
BTN,2004,0,30220.0
BTN,2005,0,11155.0
BTN,2006,656263.0,301072.0
BTN,2007,22398.0,0
BTN,2008,49680.0,0
BTN,2010,129106.0,0
BTN,2011,434259.0,0
BTN,2012,964848.0,0
BTN,2016,594660.23,0
BTN,2017,1648852.07,0
BTN,2018,1330126.04,0
BTN,2019,1156550.46,0
BTN,2020,1337697.41,0
BWA,2002,6468.0,55395.0
BWA,2003,0,66552.0
BWA,2004,6033.0,0
BWA,2005,1450.0,132883.0
BWA,2006,70.0,2488.0
BWA,2007,124546.0,0
BWA,2008,246436.0,0
BWA,2009,667517.0,0
BWA,2010,194094.49,0
BWA,2011,213018.44,0
BWA,2012,111945.56,0
BWA,2013,405951.98,0
BWA,2014,703141.09,447589.0
BWA,2015,392142.1,905305.0
BWA,2016,24188.0,58621.81
BWA,2017,89723.54,32382.0
BWA,2018,99519.35,0
BWA,2019,340815.01,0
BWA,2020,477396.48,0
BWA,2021,472758.89,0
CAF,2002,0,47158.0
CAF,2003,0,88566.0
CAF,2004,7705.0,24827.0
CAF,2005,1867.0,49738.0
CAF,2006,0,943968.0
CAF,2007,738015.0,1094577.0
CAF,2008,1282192.0,0
CAF,2009,509266.0,0
CAF,2010,668080.0,0
CAF,2011,2318807.0,0
CAF,2012,519014.0,0
CAF,2013,344740.0,0
CAF,2014,2700288.0,0
CAF,2015,34492.0,0
CAF,2016,93084.0,2230030.58
CAF,2017,4585800.29,128930.3
CAF,2018,305192.0,0
CAF,2019,332138.19,0
CAF,2020,238966.07,0
CAF,2021,409342.34,0
CAN,2002,181164335.0,138121574.0
CAN,2003,240747954.0,171274153.0
CAN,2004,346400386.0,270096932.0
CAN,2005,461544848.0,356020354.0
CAN,2006,576185019.0,440523965.0
CAN,2007,708727169.0,539177842.0
CAN,2008,897953451.0,656383669.0
CAN,2009,926366364.0,638506285.0
CAN,2010,1139708651.0,802057710.0
CAN,2011,1346102359.0,969408587.0
CAN,2012,1619110592.0,1156512055.0
CAN,2013,2080190689.0,1557811510.0
CAN,2014,2560745826.0,2077656078.0
CAN,2015,3199617498.53,2407623872.0
CAN,2016,3739338755.58,2652547172.57
CAN,2017,3917328251.06,2709237805.2
CAN,2018,4159845705.67,3013846048.18
CAN,2019,5267668116.93,3967143949.62
CAN,2020,6091791205.98,4358867171.28
CAN,2021,7846669534.39,5268409113.28
CHL,2002,11304115.0,10425290.0
CHL,2003,11293333.56,10330660.0
CHL,2004,23629531.9,22135743.0
CHL,2005,41711801.77,30882229.0
CHL,2006,58735557.66,46078050.0
CHL,2007,61443095.52,46704471.0
CHL,2008,90815135.31,68892078.0
CHL,2009,136973403.32,110520138.0
CHL,2010,117582993.58,94099250.0
CHL,2011,166172388.51,137535297.0
CHL,2012,205914962.83,168648821.0
CHL,2013,280585953.67,219617067.0
CHL,2014,380575850.19,520782913.0
CHL,2015,622100394.94,649499975.0
CHL,2016,690367110.25,805234359.05
CHL,2017,906711356.21,998629684.9
CHL,2018,715862952.94,781673157.51
CHL,2019,791217899.05,942181133.27
CHL,2020,847382496.26,1017951286.83
CHL,2021,1321366686.74,1656261921.77
CHN,2002,1115891744.0,1518330118.0
CHN,2003,1456708094.0,1883114546.0
CHN,2004,2481988662.0,2899134901.0
CHN,2005,2552837945.0,3246384057.0
CHN,2006,2486076300.0,3242837958.0
CHN,2007,3226280825.0,3646128210.0
CHN,2008,4336317470.0,4850109958.0
CHN,2009,4746739792.0,5402978312.0
CHN,2010,6984262461.0,7742949838.0
CHN,2011,11116531136.0,11613323632.0
CHN,2012,16229125413.0,12835975642.0
CHN,2013,16891892668.0,13177694493.0
CHN,2014,19906397835.0,14928317706.0
CHN,2015,29831745312.0,16567685858.0
CHN,2016,37171603826.0,21950444543.67
CHN,2017,50374616976.0,35394308576.4
CHN,2018,63956351155.0,41366458747.8
CHN,2019,64116674838.0,41434238020.9
CHN,2020,78473071644.0,48879761897.46
CHN,2021,92276691178.0,55922822933.72
CIV,2002,3683087.0,1834053.0
CIV,2003,23611101.0,4319311.0
CIV,2004,61954566.0,32623690.0
