iso3,name,income_group,region,comtrade_years,tariff_years,vn_trade_years,vn_mirror_years,vn_imports_latest_year,vn_imports_latest_usd,vn_imports_mean_usd,avg_records_per_year,tier,reason
MWI,Malawi,Low income,Sub-Saharan Africa ,20,14,20,5,2021,2443192,3040209,124746,B,usable: filing/tariff/VN-trade coverage has gaps
MRT,Mauritania,Lower middle income,Sub-Saharan Africa ,20,12,19,10,2021,496165,2755055,18177,B,usable: filing/tariff/VN-trade coverage has gaps
CPV,Cabo Verde,Upper middle income,Sub-Saharan Africa ,20,13,20,3,2021,1726054,1898128,39892,B,usable: filing/tariff/VN-trade coverage has gaps
BRB,Barbados,High income,Latin America & Caribbean ,20,11,20,5,2021,277422,1770503,70675,B,usable: filing/tariff/VN-trade coverage has gaps
GMB,"Gambia, The",Low income,Sub-Saharan Africa ,20,11,12,16,2021,350891,1649453,100908,B,usable: filing/tariff/VN-trade coverage has gaps
SYC,Seychelles,High income,Sub-Saharan Africa ,20,10,20,5,2021,1872359,1566482,170822,B,usable: filing/tariff/VN-trade coverage has gaps
BMU,Bermuda,High income,North America,17,16,17,6,2021,3034870,1457499,24628,B,usable: filing/tariff/VN-trade coverage has gaps
SUR,Suriname,Upper middle income,Latin America & Caribbean ,20,10,19,10,2021,1596490,935603,67299,B,usable: filing/tariff/VN-trade coverage has gaps
DMA,Dominica,Upper middle income,Latin America & Caribbean ,17,12,16,13,2021,26906,615305,26278,B,usable: filing/tariff/VN-trade coverage has gaps
ATG,Antigua and Barbuda,High income,Latin America & Caribbean ,16,20,16,3,2021,947416,526146,99664,B,usable: filing/tariff/VN-trade coverage has gaps
TON,Tonga,Upper middle income,East Asia & Pacific,18,10,18,4,2021,1298635,439748,17964,B,usable: filing/tariff/VN-trade coverage has gaps
LCA,St. Lucia,Upper middle income,Latin America & Caribbean ,19,14,19,3,2020,1361845,364819,42887,B,usable: filing/tariff/VN-trade coverage has gaps
GRD,Grenada,Upper middle income,Latin America & Caribbean ,20,12,19,6,2021,89707,115432,139713,B,usable: filing/tariff/VN-trade coverage has gaps
KNA,St. Kitts and Nevis,High income,Latin America & Caribbean ,16,17,14,2,2017,65669,105838,50297,B,usable: filing/tariff/VN-trade coverage has gaps
LAO,Lao PDR,Lower middle income,East Asia & Pacific,12,13,12,20,2021,465778242,390713172,42335,C,thin: only 12 Comtrade years
MMR,Myanmar,Lower middle income,East Asia & Pacific,12,14,12,20,2021,336596507,322547035,210067,C,thin: only 12 Comtrade years
CUB,Cuba,Upper middle income,Latin America & Caribbean ,11,18,11,10,2021,299446506,221064090,60446,C,thin: only 11 Comtrade years
SRB,Serbia,Upper middle income,Europe & Central Asia,16,0,16,3,2021,232108892,115908283,1239600,C,thin: only 0 tariff years
UZB,Uzbekistan,Lower middle income,Europe & Central Asia,5,9,5,19,2021,118289242,57780715,154538,C,"thin: only 5 Comtrade years, only 9 tariff years, only 5 years trading with VN"
NPL,Nepal,Lower middle income,South Asia,14,19,14,14,2021,77546753,49796569,49784,C,thin: only 14 Comtrade years
AFG,Afghanistan,Low income,"Middle East, North Africa, Afghanistan & Pakistan",12,7,9,2,2019,74361805,38904344,5004,C,"thin: only 12 Comtrade years, only 7 tariff years, only 9 years trading with VN"
PNG,Papua New Guinea,Lower middle income,East Asia & Pacific,8,15,8,16,2021,48307047,36821559,51308,C,"thin: only 8 Comtrade years, only 8 years trading with VN"
HTI,Haiti,Lower middle income,Latin America & Caribbean ,5,12,5,14,2017,23437014,30549621,43270,C,"thin: only 5 Comtrade years, only 5 years trading with VN"
IRN,"Iran, Islamic Rep.",Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",16,7,16,11,2021,42348428,27040426,82595,C,thin: only 7 tariff years
VEN,"Venezuela, RB",Lower middle income,Latin America & Caribbean ,12,20,12,20,2013,18181652,23828402,100275,C,thin: only 12 Comtrade years
